timestamp,Time,Lat,Lon,Alt[m],Speed(km/h),VSpeed[m/s],x,CalcSpeed[km/h],x2
2018-10-02 12:22:02,0.00,39.603325,2.892923,2284,351,16,0,,0.00000
2018-10-02 12:22:16,0.23,39.607792,2.908178,2522,333,22,1398.108284,359.5135555,1.39811
2018-10-02 12:22:38,0.60,39.612274,2.921265,2712,344,13,1226.87872,200.7619713,2.62499
2018-10-02 12:22:53,0.85,39.619648,2.947188,2883,344,2,2367.050475,568.092124,4.99204
2018-10-02 12:23:04,1.03,39.62537,2.95857,2911,344,2,1164.120432,380.9848668,6.15616
2018-10-02 12:23:13,1.18,39.630772,2.964993,2934,344,2,814.493648,325.7974513,6.97065
2018-10-02 12:23:21,1.32,39.637024,2.969149,2945,344,1,780.9960697,351.4482321,7.75165
2018-10-02 12:23:28,1.43,39.644394,2.971453,2957,344,1,842.9188033,433.5011143,8.59457
2018-10-02 12:23:49,1.78,39.662144,2.963505,2979,344,0,2087.708527,357.8928816,10.68227
2018-10-02 12:23:57,1.92,39.668301,2.955494,2998,344,2,968.9770885,436.0396907,11.65125
2018-10-02 12:24:05,2.05,39.672962,2.945188,3016,422,2,1023.07985,460.3859332,12.67433
2018-10-02 12:24:14,2.20,39.67664,2.93359,3033,422,1,1073.561596,429.424658,13.74789
2018-10-02 12:24:22,2.33,39.679695,2.920912,3040,422,0,1136.923782,511.6157029,14.88482
2018-10-02 12:24:29,2.45,39.681938,2.907758,3048,422,0,1152.980343,592.961287,16.03780
2018-10-02 12:24:40,2.63,39.684826,2.886846,3053,422,1,1818.107181,595.0168927,17.85590
2018-10-02 12:24:49,2.78,39.685856,2.87394,3048,422,-1,1110.308582,444.123453,18.96621
2018-10-02 12:24:56,2.90,39.687061,2.859936,3048,422,0,1205.791575,620.1213479,20.17200
2018-10-02 12:25:08,3.10,39.688213,2.83985,3048,422,0,1723.498811,517.0496579,21.89550
2018-10-02 12:25:28,3.43,39.689903,2.812536,3048,422,0,2344.716642,422.0489897,24.24022
2018-10-02 12:25:40,3.63,39.691181,2.793209,3048,422,0,1659.810278,497.9430974,25.90003
2018-10-02 12:26:10,4.13,39.690819,2.743386,3055,422,1,4263.269215,511.5923041,30.16330
2018-10-02 12:26:20,4.30,39.69025,2.730752,3056,451,0,1082.878898,389.8364102,31.24618
2018-10-02 12:26:41,4.65,39.694916,2.695456,3048,448,0,3064.258344,525.3014177,34.31044
2018-10-02 12:26:52,4.83,39.700417,2.679932,3048,448,0,1462.260104,478.5578498,35.77270
2018-10-02 12:27:00,4.97,39.704205,2.670495,3048,448,0,910.6109067,409.7749088,36.68331
2018-10-02 12:27:09,5.12,39.708618,2.659603,3048,466,0,1053.074941,421.2299955,37.73638
2018-10-02 12:27:24,5.37,39.717861,2.638396,3048,466,0,2084.909821,500.3783449,39.82129
